name,url,price
Edifier M206BT 68Watts Channel Bluetooth Multimedia Speakers,https://www.jumia.com.ng/edifier-m206bt-68watts-channel-bluetooth-multimedia-speakers-69648962.html,"₦ 19,999"
AILYONS 32inch FULL HD LED With Free LED Strip Lights,https://www.jumia.com.ng/32inch-full-hd-led-with-free-led-strip-lights-ailyons-mpg1602074.html,"₦ 61,999"
A11 Rechargeable Home Theater Subwoofer Bluetooth FM Speaker,https://www.jumia.com.ng/generic-a11-rechargeable-home-theater-subwoofer-bluetooth-fm-speaker-76417684.html,"₦ 9,500"
Air 3 Wireless Bluetooth Earphone Earbuds For Android & IOS,https://www.jumia.com.ng/generic-air-3-wireless-bluetooth-earphone-earbuds-for-android-ios-67657236.html,"₦ 4,000"
Fingerprint Touch BT 5.0 Earphones Wireless Stereo Headphone,https://www.jumia.com.ng/generic-fingerprint-touch-bt-5.0-earphones-wireless-stereo-headphone-77287289.html,"₦ 3,995"
UKA 24 INCH LED TV  T24E01 - Black,https://www.jumia.com.ng/uka-24-inch-led-tv-t24e01-black-75986721.html,"₦ 45,990"
Watch Series 6 Smart Watch Bluetooth Call Health & Multifunction - Black,https://www.jumia.com.ng/generic-watch-series-6-smart-watch-bluetooth-call-health-multifunction-black-79503109.html,"₦ 9,500"
Polystar Tower Soundbar System,https://www.jumia.com.ng/polystar-tower-soundbar-system-77982197.html,"₦ 41,699"
"10inch Selfie Ring Light With Tripod Stand, Flexible Phone Holder For",https://www.jumia.com.ng/generic-10inch-selfie-ring-light-with-tripod-stand-flexible-phone-holder-for-69651931.html,"₦ 3,747"
AILYONS 32 INCHES FULL HD TV,https://www.jumia.com.ng/32-inches-full-hd-tv-ailyons-mpg1613372.html,"₦ 59,999"
Smart Watch Bluetooth Touch Screen Pedometer Watch,https://www.jumia.com.ng/generic-smart-watch-bluetooth-touch-screen-pedometer-watch-69120090.html,"₦ 4,118"
Scanfrost 32-Inch LED Television + 2 Years Warranty,https://www.jumia.com.ng/32-inch-led-television-sfled32cl-2-years-warranty-scanfrost-mpg1269349.html,"₦ 77,500"
Super Beat Bluetooth Home Theatre System 3.1 +Free  DVD Player,https://www.jumia.com.ng/generic-super-beat-bluetooth-home-theatre-system-3.1-free-dvd-player-70911487.html,"₦ 29,980"
DJECK 813 3.1 Blutooth Speaker D-Marc Home Threater Black,https://www.jumia.com.ng/813-3.1-blutooth-speaker-d-marc-home-threater-black-djeck-mpg1582659.html,"₦ 19,990"
Fingerprint Touch Earphone With Inbuilt Power Bank,https://www.jumia.com.ng/generic-fingerprint-touch-earphone-with-inbuilt-power-bank-78090049.html,"₦ 4,995"
"Infinity 20""INCH INFINITY TV FULL HD+FREE HANGER WITH 1 YEAR WARRANTY",https://www.jumia.com.ng/infinity-20inch-infinity-tv-full-hdfree-hanger-with-1-year-warranty-80942148.html,"₦ 29,900"
Hi Watch 6 (T500+Pro) With High Voice Recording Smart Series - Black,https://www.jumia.com.ng/hi-watch-6-t500pro-with-high-voice-recording-smart-series-black-fashion-mpg1603228.html,"₦ 10,000"
Gstar 358S 5.1 Channel Bluetooth Speaker Home Theater 300W Black,https://www.jumia.com.ng/gstar-358s-5.1-channel-bluetooth-speaker-home-theater-300w-black-81838343.html,"₦ 26,990"
"UKA 32"" LED HD TV - TV32'' - Black",https://www.jumia.com.ng/uka-32-led-hd-tv-tv32-black-77349839.html,"₦ 72,990"
Havit I62 Over-ear Wireless Headphone - Bluetooth Headset - Black,https://www.jumia.com.ng/havit-i62-over-ear-wireless-headphone-bluetooth-headset-black-71109094.html,"₦ 9,900"
